序号,标准问题,真实评论短句,一级分类,二级主题,提问类型,来源批次,笔记标题,账号名称,笔记发布时间,搜索关键词,笔记链接,评论日期地区,建议回答证据,研究备注
11,博主安装过程会搞的很脏么，我准备开荒保洁完再安装？,请问博主安装过程会搞的很脏么，我准备开荒保洁完再安装,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,卧室不做衣柜！花2.3K💰搞定4m²金属衣帽间,陈久久,编辑于 2025-11-13,金属衣柜,https://www.xiaohongshu.com/explore/69151fb20000000007003ce5,2025-11-26陕西,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
12,灰尘怎么处理？,灰尘怎么处理？,落灰问题,防尘/清洁条件,直接提问,上一轮样本,6k打造12m²开放式衣帽间，真香啊！,大俊村长,06-03,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a2011d20000000021017ed2,07-01湖南,同房间同周期对照；说明门/帘、通风、地区与清洁频率,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
13,可以直接推链接吗我,可以直接推链接吗我,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,730块严丝合缝🪞5米开放式衣帽间不要太香！,一只奥特曼✨（空房改造ing）,06-22 上海,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a38bdc60000000011018b0e,07-01四川,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
14,可以发一下链接吗？,可以发一下链接吗？,价格问题,总价/包含项/购买渠道,请求型,上一轮样本,730块严丝合缝🪞5米开放式衣帽间不要太香！,一只奥特曼✨（空房改造ing）,06-22 上海,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a38bdc60000000011018b0e,07-06广西,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
15,最下面的白色收纳箱有没有链接？,最下面的白色收纳箱有没有链接呀？,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,730块严丝合缝🪞5米开放式衣帽间不要太香！,一只奥特曼✨（空房改造ing）,06-22 上海,开放式衣帽间价格,https://www.xiaohongshu.com/explore/6a38bdc60000000011018b0e,07-06浙江,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
16,有没有链接？,有没有链接呢？,价格问题,总价/包含项/购买渠道,请求型,上一轮样本,2800元自装金属衣柜,青山游民,编辑于 2025-04-05,金属衣柜安装,https://www.xiaohongshu.com/explore/67f0d869000000000f039ca7,2025-04-11四川,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
17,承重方钢就是镀锌钢对吗？方钢是怎么固定到天花板上的，就钻螺丝就行了吗？,主包大人，承重方钢就是镀锌钢对吗？方钢是怎么固定到天花板上的，就钻螺丝就行了吗？,材料问题,材质/涂层/板件,直接提问,上一轮样本,💙金属折叠门衣柜顶部加固避坑指南👉,炸毛丸子,04-01,金属衣柜承重,https://www.xiaohongshu.com/explore/69cd3c37000000001a02c0ad,05-25江苏,材料牌号/厚度/涂层工艺；门板和侧板单独说明,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
18,有没有链接呀？你家的这个正好看,有没有链接呀？你家的这个正好看,价格问题,总价/包含项/购买渠道,请求型,上一轮样本,一辈子锁死开放式衣柜,小羊番外篇,编辑于 2025-09-02,衣柜环保,https://www.xiaohongshu.com/explore/68b6afad000000001d03611e,2025-12-15安徽,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
19,颜值也很高，请问是什么品牌,颜值也很高，请问是什么品牌呢？,审美问题,外观/货架感/搭配,直接提问,上一轮样本,一辈子锁死开放式衣柜,小羊番外篇,编辑于 2025-09-02,衣柜环保,https://www.xiaohongshu.com/explore/68b6afad000000001d03611e,2025-09-02浙江,真实完工图；同色/门型/侧板搭配及适用空间,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
20,价格贵么？,价格贵么？,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,线下探店后心动指数60%,小豆子｜家居功课本,编辑于 07-05 上海,金属衣柜柜门,https://www.xiaohongshu.com/explore/6a4a586c00000000210207c9,07-05上海,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
21,我想做这种开放格，请问可以吗？是客厅的满墙柜 3 米 9 的长度，因为我觉得如果说做成全柜门的话，会不会有一点压迫感,老师 我想做这种开放格，请问可以吗？是客厅的满墙柜 3 米 9 的长度，因为我觉得如果说做成全柜门的话，会不会有一点压迫感,柜门问题,门型/轨道/遮挡,直接提问,上一轮样本,不好用的定制还不如不做，10个没用的设计！,帆叔家居真带劲,02-03,全屋定制避坑,https://www.xiaohongshu.com/explore/69819cd20000000028023396,02-03山东,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
22,白色柜子什么颜色？,白色柜子什么颜色呀？,审美问题,外观/货架感/搭配,直接提问,上一轮样本,60平法式衣柜5w搞定！附攻略,柚子窝🏠,昨天 18:42 重庆,定制衣柜价格,https://www.xiaohongshu.com/explore/6a5caa33000000001102d7e8,昨天 18:44山西,真实完工图；同色/门型/侧板搭配及适用空间,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
23,价格美丽吗？,价格美丽吗,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,五年只换不修，给最安心的售后保障,简顿吸顶灯,编辑于 04-20,简顿吸顶灯官方号,https://www.xiaohongshu.com/explore/69b3f977000000002102dbc4,03-23北京,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
24,包安装吗？,包安装吗,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,年度榜单TOP！全屋灯具闭眼入~,简顿吸顶灯,编辑于 03-31,简顿吸顶灯官方号,https://www.xiaohongshu.com/explore/69b3ff8f0000000021005909,03-23海南,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
25,只要衣柜不要柜门可以吗？,只要衣柜不要柜门可以吗？,柜门问题,门型/轨道/遮挡,直接提问,上一轮样本,搬家还能带走的衣柜你见过吗？,铂耐,2024-04-22,金属衣柜搬家,https://www.xiaohongshu.com/explore/6625e447000000000401a8c5,03-05河北,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
26,柜门是什么材质，怎样定做？有人安装吗？,柜门是什么材质，怎样定做？有人安装吗？,材料问题,材质/涂层/板件,直接提问,上一轮样本,搬家还能带走的衣柜你见过吗？,铂耐,2024-04-22,金属衣柜搬家,https://www.xiaohongshu.com/explore/6625e447000000000401a8c5,2024-04-23湖北,材料牌号/厚度/涂层工艺；门板和侧板单独说明,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
27,受力主要是靠横轨还是竖轨，有必要把螺丝都打满吗？,请问受力主要是靠横轨还是竖轨，有必要把螺丝都打满吗,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,金属衣柜坍塌现场~第二集,费戈曼金属衣柜（南宁线下实体店）,01-29,金属衣柜承重,https://www.xiaohongshu.com/explore/697a2fc600000000220323d0,4天前广东,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
28,为什么这个架子要上墙，直接落地不行吗？那种货架衣柜就是底下有承重的反正都用门挡起来了，为什么不直接在里面放货架衣柜,为什么这个架子要上墙，直接落地不行吗？那种货架衣柜就是底下有承重的反正都用门挡起来了，为什么不直接在里面放货架衣柜,安装问题,上墙与落地方案,直接提问,上一轮样本,金属衣柜的坑我已经踩完了😭你就别踩啦❗,美达斯衣柜,2025-05-26,金属衣柜避坑,https://www.xiaohongshu.com/explore/68341209000000002203594d,2025-05-27广西,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
29,侧板跟推拉门是什么材质？,侧板跟推拉门是什么材质？,材料问题,材质/涂层/板件,直接提问,上一轮样本,3块板➕金属架做衣柜，木工说要失业了😭,美达斯金属衣柜,06-28 江苏,金属衣柜安装,https://www.xiaohongshu.com/explore/6a3f87100000000021018441,5天前福建,材料牌号/厚度/涂层工艺；门板和侧板单独说明,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
30,精装修房有地暖可以跟视频一样装侧板吗？牢吗？,精装修房有地暖可以跟视频一样装侧板吗？牢吗,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,3块板➕金属架做衣柜，木工说要失业了😭,美达斯金属衣柜,06-28 江苏,金属衣柜安装,https://www.xiaohongshu.com/explore/6a3f87100000000021018441,5天前上海,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
31,什么价格？,什么价格？,价格问题,总价/包含项/购买渠道,直接提问,上一轮样本,金属衣柜！0甲醛！极致环保！收纳灵活！,森可金属衣柜,编辑于 07-08 四川,衣柜环保,https://www.xiaohongshu.com/explore/6a4cb59b0000000007012d33,07-07四川,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
32,0甲醛 层板和门没有甲醛吗？,0甲醛 层板和门没有甲醛吗？,环保问题,甲醛/气味/检测边界,直接提问,上一轮样本,金属衣柜！0甲醛！极致环保！收纳灵活！,森可金属衣柜,编辑于 07-08 四川,衣柜环保,https://www.xiaohongshu.com/explore/6a4cb59b0000000007012d33,07-08四川,检测报告编号、样品范围与适用标准；区分架体和整套,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
33,价格怎么算，泉州有吗，上门吗？,价格怎么算，泉州有吗，上门吗,售后问题,保修/责任/服务范围,直接提问,上一轮样本,不需承重墙的金属衣柜，用20年都不会变型‼️,日式装修设计&建材定制,2024-09-08,衣柜环保,https://www.xiaohongshu.com/explore/66dd94690000000026032e74,2024-09-08福建,保修范围、期限、服务城市、响应和事故责任书面条款,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
34,你们这边只是提供材料，没有安装服务是吧？,你好，你们这边只是提供材料，没有安装服务是吧？,售后问题,交付与安装服务边界,直接提问,上一轮样本,不需承重墙的金属衣柜，用20年都不会变型‼️,日式装修设计&建材定制,2024-09-08,衣柜环保,https://www.xiaohongshu.com/explore/66dd94690000000026032e74,2025-06-03四川,保修范围、期限、服务城市、响应和事故责任书面条款,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
35,如果不是承重墙请问那个好一些？,如果不是承重墙请问那个好一些？,承重问题,稳定性/荷载,直接提问,上一轮样本,金属衣柜选购指南📝4款优缺点一次说清❗️,纳兹木作-贵阳,2025-08-15,金属衣柜像货架,https://www.xiaohongshu.com/explore/689f47ef000000001c01386c,03-09湖北,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
36,这几种。可以改深度吗？感觉裤子比衣服窄。因为宽度问题。一侧想窄一点放裤子。,这几种。可以改深度吗？感觉裤子比衣服窄。因为宽度问题。一侧想窄一点放裤子。,安装问题,墙体/固定/尺寸/施工,直接提问,上一轮样本,金属衣柜选购指南📝4款优缺点一次说清❗️,纳兹木作-贵阳,2025-08-15,金属衣柜像货架,https://www.xiaohongshu.com/explore/689f47ef000000001c01386c,05-30浙江,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
37,不是承重墙，但是开发商原始混凝土墙，可以吗？,请问不是承重墙，但是开发商原始混凝土墙，可以吗,承重问题,稳定性/荷载,直接提问,新增样本,❤️求大数据推给想要买金属衣柜的姐妹👭,空空,编辑于 2024-11-04,金属衣柜承重,https://www.xiaohongshu.com/explore/66ec084a000000001e01a952,2024-09-23广东,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
38,分不清是不是承重墙怎么办？？,分不清是不是承重墙怎么办？？,承重问题,稳定性/荷载,质疑型,新增样本,❤️求大数据推给想要买金属衣柜的姐妹👭,空空,编辑于 2024-11-04,金属衣柜承重,https://www.xiaohongshu.com/explore/66ec084a000000001e01a952,2024-09-22河南,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
39,承重是多少？,请问承重是多少呀,承重问题,稳定性/荷载,直接提问,新增样本,立省万元！手搓5m金属折叠门衣柜（清单教程版,Bobo大王,2025-07-14,金属衣柜搬家,https://www.xiaohongshu.com/explore/6874c674000000002400848d,2025-07-19江苏,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
40,所有材料同一家买的么？,请问所有材料同一家买的么？,价格问题,采购渠道/分项采购,直接提问,新增样本,立省万元！手搓5m金属折叠门衣柜（清单教程版,Bobo大王,2025-07-14,金属衣柜搬家,https://www.xiaohongshu.com/explore/6874c674000000002400848d,2025-10-18浙江,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
41,这个承重咋样 底下需要打螺丝进瓷砖吗？,大王 这个承重咋样 底下需要打螺丝进瓷砖吗？,承重问题,稳定性/荷载,直接提问,新增样本,立省万元！手搓5m金属折叠门衣柜（清单教程版,Bobo大王,2025-07-14,金属衣柜搬家,https://www.xiaohongshu.com/explore/6874c674000000002400848d,2025-09-24浙江,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
42,柜门是爱格板么？,请问柜门是爱格板么？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,立省万元！手搓5m金属折叠门衣柜（清单教程版,Bobo大王,2025-07-14,金属衣柜搬家,https://www.xiaohongshu.com/explore/6874c674000000002400848d,2025-07-14湖北,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
43,这个怎么做,请问这个怎么做,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,大胆点！卧室别再打柜子了！试试金属衣柜～,爱吃香菜的设计狮,2025-03-23,衣柜环保,https://www.xiaohongshu.com/explore/67dfd2a7000000001c00745a,06-18北京,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
44,有没有链接啊,有没有链接啊,价格问题,总价/包含项/购买渠道,请求型,新增样本,大胆点！卧室别再打柜子了！试试金属衣柜～,爱吃香菜的设计狮,2025-03-23,衣柜环保,https://www.xiaohongshu.com/explore/67dfd2a7000000001c00745a,2025-05-06湖南,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
45,是不是要承重墙才可以,是不是要承重墙才可以,承重问题,稳定性/荷载,质疑型,新增样本,金属衣帽间 | 做法流程详解,小V的家,2025-11-02,金属衣柜安装,https://www.xiaohongshu.com/explore/69061258000000000402a348,04-06四川,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
46,为啥不用推拉门,为啥不用推拉门,柜门问题,门型/轨道/遮挡,直接提问,新增样本,听劝且谨慎❗️金属衣柜深藏不露的坑不少哦,一粒多米团,2024-11-11,金属衣柜避坑,https://www.xiaohongshu.com/explore/67320a43000000001b010b65,2024-12-29北京,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
47,柜门找线下的全屋定制做的吗？同在广东问了全屋定制那种，只做柜门和做整柜价格一样，整墙衣柜做下来要一万多（说白了就是不肯给你单独做柜门）,柜门找线下的全屋定制做的吗？同在广东问了全屋定制那种，只做柜门和做整柜价格一样，整墙衣柜做下来要一万多（说白了就是不肯给你单独做柜门）,价格问题,总价/包含项/购买渠道,直接提问,新增样本,DIY金属衣柜半年真实反馈,陈一罐,2025-06-08,金属衣柜承重,https://www.xiaohongshu.com/explore/68458ae8000000000f038ea3,2025-06-09广东,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
48,博主，我家也是做3米左右，只是一侧有墙一侧没有我这个怎么做，是找木工做顶柜和旁边加块板子吗？ ？,哈喽博主，我家也是做3米左右，只是一侧有墙一侧没有我这个怎么做，是找木工做顶柜和旁边加块板子吗？ ？,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,DIY金属衣柜半年真实反馈,陈一罐,2025-06-08,金属衣柜承重,https://www.xiaohongshu.com/explore/68458ae8000000000f038ea3,2025-06-09四川,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
49,能不能放一张闭起来的图，我好奇柜门外面是什么样子,能不能放一张闭起来的图，我好奇柜门外面是什么样子,柜门问题,门型/轨道/遮挡,直接提问,新增样本,DIY金属衣柜半年真实反馈,陈一罐,2025-06-08,金属衣柜承重,https://www.xiaohongshu.com/explore/68458ae8000000000f038ea3,2025-06-08湖南,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
50,求衣柜教程？,求衣柜教程,安装问题,墙体/固定/尺寸/施工,请求型,新增样本,舍弃一间卧室打造的衣帽化妆间🧺,暴走雪碧-,07-03 广东,金属衣柜柜门,https://www.xiaohongshu.com/explore/6a47a44d000000001c027caa,昨天 16:59山西,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
51,价格？,价格呢,价格问题,总价/包含项/购买渠道,直接提问,新增样本,听劝别跟风，这些情况千万别做金属衣柜❗,舍尔弗功能衣柜,编辑于 03-11,金属衣柜承重,https://www.xiaohongshu.com/explore/6811f050000000002100ac5b,2025-05-25河北,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
52,求松下平替链接🔗,求松下平替链接🔗,价格问题,总价/包含项/购买渠道,请求型,新增样本,"擦,金属衣柜最坑的🙄就尬吹省钱的没跑了",一三木团,07-09 上海,金属衣柜落灰,https://www.xiaohongshu.com/explore/6a4fb81d000000001100600b,07-09云南,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
53,怎么做到拉开是平整的 韩式勾吗？,怎么做到拉开是平整的 韩式勾吗,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,如果重来，我还做金属衣柜～（优缺点使用感受）,炙热（软装中）,编辑于 2025-11-12,金属衣柜缺点,https://www.xiaohongshu.com/explore/68fcac030000000007039b11,2025-10-25黑龙江,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
54,衣柜铰链装在铝合金框架上吗？,衣柜铰链装在铝合金框架上吗？,柜门问题,铰链连接方式,直接提问,新增样本,落地金属衣架1️⃣年真实反馈！,陈一罐,2025-09-25,金属衣柜缺点,https://www.xiaohongshu.com/explore/68d537a1000000001300eb7e,2025-10-10浙江,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
55,我求你的购买链接，我有大衣，不知道用什么搭配下单？,我求你的购买链接，我有大衣，不知道用什么搭配下单？,价格问题,总价/包含项/购买渠道,直接提问,新增样本,金属衣柜，潮湿？灰尘？塌？（半年使用感受）,炙热（软装中）,02-03,金属衣柜落灰,https://www.xiaohongshu.com/explore/6981df4b000000000a02b654,02-22湖北,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
56,布帘怎么做到这么平整？布帘底下有吸铁石吗？,布帘怎么做到这么平整？布帘底下有吸铁石吗？,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,金属衣柜，潮湿？灰尘？塌？（半年使用感受）,炙热（软装中）,02-03,金属衣柜落灰,https://www.xiaohongshu.com/explore/6981df4b000000000a02b654,02-05河南,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
57,步入式留多宽？,步入式留多宽？,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,求你别跟风金属衣柜！3种衣柜真实对比+避坑,元宝的小家,编辑于 2025-02-20,金属衣柜避坑,https://www.xiaohongshu.com/explore/67b58870000000000d017f2d,2025-04-27河南,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
58,有没有可能人家说的是衣服上会落灰,有没有可能人家说的是衣服上会落灰,落灰问题,防尘/清洁条件,直接提问,新增样本,你们说这样的衣柜落灰，我今天打扫了一下,平安是福,2024-10-12,金属衣柜落灰,https://www.xiaohongshu.com/explore/6709e55d000000001a02262d,2024-10-19湖北,同房间同周期对照；说明门/帘、通风、地区与清洁频率,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
59,我的是木头柜子的推拉门轨道坏了，能按这个轨道吗？是胶贴的？还是需要螺丝?,我的是木头柜子的推拉门轨道坏了，能按这个轨道吗？是胶贴的？还是需要螺丝?,售后问题,保修/责任/服务范围,直接提问,新增样本,金属衣柜的坑你踩了几个？,鳄鱼姐姐,2024-01-20,金属衣柜落灰,https://www.xiaohongshu.com/explore/65abbfa9000000002e00672d,2024-05-13河南,保修范围、期限、服务城市、响应和事故责任书面条款,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
60,你这里是一付帘子还是两幅？,请问你这里是一付帘子还是两幅？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,金属衣柜的坑你踩了几个？,鳄鱼姐姐,2024-01-20,金属衣柜落灰,https://www.xiaohongshu.com/explore/65abbfa9000000002e00672d,2024-02-22山东,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
61,轨道在哪买的呀？什么牌子求推荐,轨道在哪买的呀？什么牌子求推荐,柜门问题,门型/轨道/遮挡,请求型,新增样本,金属衣柜的坑你踩了几个？,鳄鱼姐姐,2024-01-20,金属衣柜落灰,https://www.xiaohongshu.com/explore/65abbfa9000000002e00672d,2024-07-07天津,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
