序号,笔记标题,账号名称,账号类型,发布时间,搜索关键词,笔记链接,点赞量,收藏量,评论量,封面形式,封面主标题,开头第一句话,核心观点,内容结构,使用了哪些证据,用户主要痛点,评论区高频问题,评论区正面观点,评论区负面观点,是否存在广告感,值得借鉴的地方,不建议借鉴的地方
16,砌墙衣柜我后悔了！进来避坑！,一枚小汤圆,用户,01-07,金属衣柜落灰,https://www.xiaohongshu.com/explore/695dcb4d000000000e00d3ad?xsec_token=ABcqBb8iVBAajOPU5VvmFKIz6HI0zGZPfRIXsf3F4ssao=&xsec_source=,188,180,222,图文轮播（1/2）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,看完再决定装不装吧,用户观点：砌墙+帘子的开放衣柜因深度、下挂区、落灰和帘子选择而后悔。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出60cm等自报数据或尺寸；未做独立核验,环保与气味；落灰与遮挡；柜门与轨道；容量与可调整性,评论区用户观点：灰真的很大吗？；呀 我觉得挺好用啊 也没灰啊；我，还没开始用呢..我是美观上无所谓，轨道露出来也没关系，落…,评论区用户观点：娃房间的，我感觉很好用；呀 我觉得挺好用啊 也没灰啊,评论区用户观点：灰真的很大吗？；呀 我觉得挺好用啊 也没灰啊；我，还没开始用呢..我是美观上无所谓，轨道露出来也没关系，落…,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
17,好喜欢我的货架衣柜！！这也太能挂了👍🏻,月亮🌙 装修版,用户,编辑于 2025-12-03,金属衣柜像货架,https://www.xiaohongshu.com/explore/6922b703000000001e000973?xsec_token=ABCEJ0jzkHgS7_yLImypyQMmgOLRK2hD-t1Gvz76AJpo4=&xsec_source=,4166,3331,384,图文轮播（1/3）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,挂得满满当当,用户观点：货架式衣柜容量高、挂衣直观，视觉上也可被接受。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,容量与可调整性,评论区用户观点：请问中间挂衣服的横杆是怎么弄得呀；请问总高度是多少呀；天花板是怎么整的,未获取,未获取,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
18,金属衣柜实地考察1,Luna_月亮的家🌙,用户,03-14,金属衣柜像货架,https://www.xiaohongshu.com/explore/69b57895000000002103be4b?xsec_token=ABM7yX8sG3BIsZnX3lFhz3msOhCkDVYkIbMJ4-e6hTd7c=&xsec_source=,294,341,171,图文轮播（1/4）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,原因/痛点：上一次家里人全屋定制木质板材柜子，通风了一年半之后，入住还是有很明显气味,用户观点：环保是强动机，但门店报价高；承重、防锈、层板缝隙和门型需逐项核验。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以个人实拍/使用经历为证；属于单一个案，未做独立复核,价格与增项；环保与气味；承重与墙体；柜门与轨道,评论区用户观点：金属衣柜里面的架子直接网购，让卖家给你样品对比看看，实体店这…；图1这种要上墙或凿地的吗？我不想破坏墙地面；这种什么价格啊,评论区用户观点：我已经入住了一段时间了，确实没味儿，网购便宜,评论区用户观点：我已经入住了一段时间了，确实没味儿，网购便宜,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
19,2800元自装金属衣柜,青山游民,用户,编辑于 2025-04-05,金属衣柜安装,https://www.xiaohongshu.com/explore/67f0d869000000000f039ca7?xsec_token=ABIMYjUNvofL26HqjkfDZ2sqHtIL_RlprXl4TvH2-Hhl4=&xsec_source=,167,213,64,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,新家设计的衣帽间 原计划做宜家壁挂系统 实际落地阶段发现必须要承重墙 家里L 型一面承重一…,用户观点：立柱/落地平替可避开非承重墙问题，2800元自装有可行性。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出90%等自报数据或尺寸；未做独立核验,环保与气味；承重与墙体；安装与协同；容量与可调整性,评论区用户观点：请问你家套内多少平；请问你这个2800大概是多少平的衣柜呀？；这是哪家的金属结构呀,未获取,未获取,疑似/轻度（存在链接、私信或咨询导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
20,传统衣柜和金属衣柜，到底该怎么选？！,RRR♠,用户,03-21,金属衣柜和木衣柜,https://www.xiaohongshu.com/explore/69beafd5000000002003ad95?xsec_token=ABZBGCQVKX4L7J2Hgh-kY91gLyFUiFU8QvaHT8I61CZr0=&xsec_source=,6,2,33,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,传统衣柜空间分布没那么灵活且造价高，板材也需要晾味道… 网红金属衣柜也了解了一些，布局和气…,用户观点：木柜省心但有板材与固定格局顾虑；金属加门后不便宜，南方和养猫又不适合帘子。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；环保与气味；落灰与遮挡；柜门与轨道,评论区用户观点：说好的极简金属衣柜？我手搓成... 挺香的；这个可否？；可以兼顾的，金属衣柜加上门板跟普通木柜价格差不多，不用增加预…,评论区用户观点：说好的极简金属衣柜？我手搓成... 挺香的；金属衣架，空间更加灵活。过几年不喜欢，再拆了做传统衣柜,未获取,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
21,💙金属折叠门衣柜顶部加固避坑指南👉,炸毛丸子,用户,04-01,金属衣柜承重,https://www.xiaohongshu.com/explore/69cd3c37000000001a02c0ad?xsec_token=ABJM6Z0sYlaVgZH29xhV9B1H17_SLIiRnmBjDRDnlk6As=&xsec_source=,570,1126,58,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,金属衣柜折叠门避坑关键点 装金属衣柜、推拉折叠门别踩雷,用户观点：折叠门顶部承重方钢、固定方式和高度是安装安全的关键。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以正文说明和案例画面为主；无独立第三方证据,柜门与轨道；安装与协同；容量与可调整性；外观与噪声,评论区用户观点：看我家这种可以吗 吃个午饭工人给做完了。。。。工长说他们挂三…；承重这个折叠门吗；主包大人，承重方钢就是镀锌钢对吗？方钢是怎么固定到天花板上的…,未获取,评论区用户观点：承重这个折叠门吗；主包大人，承重方钢就是镀锌钢对吗？方钢是怎么固定到天花板上的…；不好意思想麻烦问下，我家层高2.63…方钢要做多高谢谢,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
22,在小红书抄作业的金属衣柜…2K+真的太香了~,野生设计师｜李木子,设计师,02-28,金属衣柜柜门,https://www.xiaohongshu.com/explore/699ff9900000000022033cb0?xsec_token=ABMixy2Y84cWWWMVtEkl2Y4fAsf6hlxVK8_rrE2VfOIpc=&xsec_source=,360,513,53,图文轮播（1/4）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,小抄来的懒人必备金属衣柜+平开门安全下车 妈妈再也不用担心我不叠衣服了 毫不犹豫的选择金属…,设计师观点：金属架配平开门可减少板材并提高挂衣效率，深度、隔灰和灯带需提前设计。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出15cm、50cm、60cm、5cm等自报数据或尺寸；未做独立核验,价格与增项；环保与气味；落灰与遮挡；柜门与轨道,评论区用户观点：3.7米*2.7米多少钱；怎么定制呀；怎么定制呀？！？,未获取,未获取,疑似/轻度（存在链接、私信或咨询导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
23,一辈子锁死开放式衣柜,小羊番外篇,用户,编辑于 2025-09-02,衣柜环保,https://www.xiaohongshu.com/explore/68b6afad000000001d03611e?xsec_token=ABEhpTHCPEpju6mzFonHgb61ONyS5PjnIlUHvGR2wpn_c=&xsec_source=,422,311,33,图文轮播（1/14）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,装修前就决定不全屋定制 一是价格水太深（可能我没遇到良心的） 二是设计模板化 工期动不动两…,用户观点：模块化落地架适合非承重墙，可调整且能拆走，但价格与帘子清洁仍被质疑。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,证据不足：存在环保、防尘、寿命或即住宣称，但正文未提供检测报告、标准或长期实测,价格与增项；环保与气味；承重与墙体；安装与协同,评论区用户观点：有没有链接呀？你家的这个正好看；这价格跟做全屋定制的衣柜差不多了吧；颜值也很高，请问是什么品牌呢？,评论区用户观点：有没有链接呀？你家的这个正好看,评论区用户观点：就是窗帘定期清洗除螨感觉有些麻烦；我也想知道落不落灰,疑似/轻度（存在链接、私信或咨询导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
24,适我的家，会给我省钱❗️模块化储物间,米苏Ariel,装修博主,编辑于 04-07,模块化衣柜,https://www.xiaohongshu.com/explore/69c6811100000000230249a8?xsec_token=ABICsORh9XjJvIbcfBIkrZ5WzNu1UelQqMK-WemJeBJOY=&xsec_source=,5931,1.2万,178,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,有人问我，为什么要用成品衣柜做储物间,装修博主观点：成品柜模块化组合可把定制报价2—4万元降到约5000元，并随家庭需求变化。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出4万、5000元、9年等自报数据或尺寸；未做独立核验,价格与增项；容量与可调整性,评论区用户观点：请问这些柜子怎么固定住？；你好 门口左边的抽屉柜是哪里的啊；米苏，想问问柜子背对背需不需要加隔音棉？,评论区用户观点：真的好棒的想法，而且里面的配件都可以随着需求改变替换，我喜欢…；小姐姐，你是不是会设计呀，我最近准备买房，偶然刷到你，你的房…；博主用的什么洗地机啊？好用吗？,评论区用户观点：开裂了,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
25,线下探店后心动指数60%,小豆子｜家居功课本,装修博主,编辑于 07-05 上海,金属衣柜柜门,https://www.xiaohongshu.com/explore/6a4a586c00000000210207c9?xsec_token=ABb-jYjjNHQz3NRdZIHJxdMha6zAesCh6-7YnMgAX_OIs=&xsec_source=,3,7,13,图文轮播（1/17）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,今天去看了一家金属衣柜品牌，整体比我预期好不少，也挺符合我们家的需求：尽可能降低甲醛、后期…,装修博主观点：金属系统的价值在后期可调和多门型选择，但配件边角、工期和报价影响决策。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：作者/品牌给出1%等自报数据或尺寸；未做独立核验,价格与增项；环保与气味；承重与墙体；柜门与轨道,评论区用户观点：价格贵么？；怎么能让你心动100%,未获取,评论区用户观点：价格贵么？,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
26,全屋定制太坑了‼️这四个重灾区一定要避开,阳小羊的家,用户,2025-08-01,全屋定制避坑,https://www.xiaohongshu.com/explore/6888a57d00000000040038c4?xsec_token=ABQKzMt3UpZ5lUB2cOdCeBWvN7TTTMGFKhhrygK7VteJc=&xsec_source=,1.2万,4744,32,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,用户观点：全屋定制的板材、五金、计价与细节是主要避坑区，需逐项确认。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,未获取,评论区用户观点：实木颗粒板就是性价比最高的，实木芯的价格会更高一点,未获取,评论区用户观点：我能不能直接把这个给他看，让他按照视频里你说的给我介绍,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
27,全屋定制翻车重灾区验收盯死这里,锐哥聊装修,装修博主,05-01,全屋定制避坑,https://www.xiaohongshu.com/explore/69f35e32000000003601f921?xsec_token=AB3Sk9016SY8daxxtDA_YOZnovkdFdNZFO07HyIiJRRUg=&xsec_source=,1.3万,2.6万,415,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,装修博主观点：验收要盯尺寸和安装质量，但高焦虑表达也引发“不要制造焦虑”的反驳。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,未获取,未获取,评论区用户观点：整的我不敢装修了 最近也在闹装修这个事情 效果图都设计很久了…,评论区用户观点：不要制造焦虑了😂啥的都有好和不好的，都是人的问题找对人才行；整的我不敢装修了 最近也在闹装修这个事情 效果图都设计很久了…,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
28,不好用的定制还不如不做，10个没用的设计！,帆叔家居真带劲,装修博主,02-03,全屋定制避坑,https://www.xiaohongshu.com/explore/69819cd20000000028023396?xsec_token=ABdxU1Ne2jdwabdTeMMAvSoO_OWhkAkKRy32ts7jXbg7M=&xsec_source=,2.5万,3.1万,971,柜体场景+人物抠图+多层大字（页面呈动态播放符号）,全屋定制避坑指南｜易翻车10大雷区｜装修必看,新房装完最后悔的，就是全屋定制这10个地方❗️真金白银买的教训，刷到就是在省钱💰 我家刚…,装修博主观点：很多复杂定制功能入住后低效；挂衣、抽屉和简化造型更实用。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出75cm、20cm等自报数据或尺寸；未做独立核验,价格与增项；落灰与遮挡；承重与墙体；柜门与轨道,评论区用户观点：你是北方的吧南方不需要门口做衣柜；不懂就问：进门为啥要脱衣服呀？不冷吗？换睡衣也基本都是在卧室…；对啊，我家一楼门口衣柜我老公和儿子用，车库进洗衣房里衣柜我自…,未获取,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
29,全屋定制报价,A-(装修版）,用户,编辑于 06-24 湖北,定制衣柜价格,https://www.xiaohongshu.com/explore/6a3bcba5000000001700a427?xsec_token=ABPqjNFVHmpGvTdY1pqhRZ1WeVpaUSN7abrM5ffExYLts=&xsec_source=,14,14,30,图文轮播（1/2）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,全屋定制这个价格怎么样,用户观点：同样的全屋定制报价需比较板材、五金、抽屉与增项，单看单价不足。,分析：个人场景→费用/体验→优缺点或决策→提问/建议,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；柜门与轨道；安装与协同,评论区用户观点：宝宝这是哪家啊；一共多少平啊；是按平方米，还是延米算啊？,评论区用户观点：你这个单价比我找的莫干山要便宜,未获取,否或较低（个人经历/讨论为主）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
30,全屋定制658价格怎么样,小鲁的装修日记,用户,1小时前 湖北,定制衣柜价格,https://www.xiaohongshu.com/explore/6a5d7da80000000006011517?xsec_token=AB8RBfYhwEa0T9Fc-H63TeXAe2-LG7t5TH0bj4D5I7z9c=&xsec_source=,2,未获取,10,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,我找的是武汉的工厂店，去看了实际的工程感觉还行,用户观点：658元/平之外，灯带、拉直器、玻璃门、见光板和弧弯等增项决定落地价。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出5平等自报数据或尺寸；未做独立核验,价格与增项；柜门与轨道,评论区用户观点：抽屉和灯带让他送呀，我找的一家全屋定制也是和你这个价格差不多…,未获取,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
31,60平法式衣柜5w搞定！附攻略,柚子窝🏠,用户,昨天 18:42 重庆,定制衣柜价格,https://www.xiaohongshu.com/explore/6a5caa33000000001102d7e8?xsec_token=AB7Bl8tPw6huzA9Mv2pjKg3h_iDaYSoRyjrkvGobzJhfQ=&xsec_source=,31,27,15,图文轮播（1/6）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,之前一直有姐妹在问我家衣柜，开荒完就赶紧来分享选柜子的经验啦 1、柜门是烤漆可可蛋奶色，柜…,用户观点：法式造型衣柜约5万元，省钱来自自购配件、减少玻璃门、核对尺寸与谈赠品。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；柜门与轨道；安装与协同；外观与噪声,评论区用户观点：岩板哪里买的；60平包括橱柜了吗；白色柜子什么颜色呀？,评论区用户观点：好看呢,未获取,否或较低（个人经历/讨论为主）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
32,五年只换不修，给最安心的售后保障,简顿吸顶灯,品牌官方,编辑于 04-20,简顿吸顶灯官方号,https://www.xiaohongshu.com/explore/69b3f977000000002102dbc4?xsec_token=ABOVkis1TCCd6r9Lk0jS-jlgMFDxzyfgd0qzGglX5WPyc=&xsec_source=,138,95,30,米白极简产品图+黑色事实标题,五年只换不修,①吸顶灯5代PRO+无主灯-质保5年·只换不修 质量问题不扯皮，五年质保期内免费换新，安全…,品牌观点：用“五年只换不修、包安装拆旧、不够亮包退”降低购买和售后风险。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出5年等自报数据或尺寸；未做独立核验,柜门与轨道；安装与协同,评论区用户观点：吊顶不承重怎么办；价格美丽吗；有点贵了主要,未获取,评论区用户观点：吊顶不承重怎么办；有点贵了主要,是（品牌身份明确；产品/服务导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
33,年度榜单TOP！全屋灯具闭眼入~,简顿吸顶灯,品牌官方,编辑于 03-31,简顿吸顶灯官方号,https://www.xiaohongshu.com/explore/69b3ff8f0000000021005909?xsec_token=ABOVkis1TCCd6r9Lk0jS-jlt-Tf7i042kxnfeEIIywmtE=&xsec_source=,39,40,7,品牌产品/榜单信息卡，米白极简视觉,未获取（封面图片文字未结构化）,简顿荣登年度护眼吸顶灯榜单TOP，以好品质收获千万家庭信赖 🌟 吸顶灯5代PRO 简约大…,品牌观点：以榜单与全屋灯具组合证明产品覆盖，但“闭眼入”仍带明显促销感。,分析：单一卖点钩子→产品/服务解释→场景或咨询引导,事实记录：以正文说明和案例画面为主；无独立第三方证据,安装与协同,评论区用户观点：包安装吗；哪里买？；包拆包安装吗,未获取,未获取,是（品牌身份明确；产品/服务导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
34,都说金属衣柜贵，到底贵在哪里呢？,铂耐收纳系统,品牌官方,编辑于 2025-09-05,金属衣柜贵吗,https://www.xiaohongshu.com/explore/68ad86cd000000001d02d68c?xsec_token=ABMsiyX8MNcE9C-hPCbLxt9s-RNaGGfpZb0EqzMzR4L9g=&xsec_source=,18,16,6,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,都说金属衣柜便宜又环保，金属衣柜+折叠门更是大气又美观,品牌观点：折叠门是金属衣柜贵的重要来源，但正文没有拆出具体价格或配置。,分析：单一卖点钩子→产品/服务解释→场景或咨询引导,事实记录：以正文说明和案例画面为主；无独立第三方证据,价格与增项；环保与气味；柜门与轨道；外观与噪声,评论区用户观点：要自己做门框吗；这衣柜的尺寸加门要多宽；多少一平,未获取,未获取,是（品牌身份明确；产品/服务导向）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不把单个家庭/单次报价当行业普遍结论，也不省略门、五金和施工条件。
35,金属衣柜不进灰，谁说金属衣柜还落灰的！,铂耐收纳系统,品牌官方,编辑于 2025-09-18,金属衣柜落灰,https://www.xiaohongshu.com/explore/68cb9909000000001003ef99?xsec_token=ABjpdl9H4wiAej5Y6WWkqDP5_7K6NTnu1iq4TncCfhDsc=&xsec_source=,235,265,19,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,金属衣柜防尘主要有三大类型， 1️⃣. 门板式 常见的平开门 折叠门 移门 可以搭配自己喜…,品牌观点：门板、厚帘和独立空间可降低落灰；防尘效果受密闭、新风和气候条件影响。,分析：问题或结论→编号拆解→费用/尺寸或建议→标签/提问,事实记录：作者/品牌给出3cm等自报数据或尺寸；未做独立核验,落灰与遮挡；柜门与轨道；容量与可调整性,评论区用户观点：成都，上门测量吗,评论区用户观点：我只是喜欢它的灵活性，所以我可以加背板侧板顶板吗,未获取,是（品牌身份明确；产品/服务导向）,分析：保留真实金额、尺寸、使用时长或配置拆分；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
36,搬家还能带走的衣柜你见过吗？,铂耐,品牌官方,2024-04-22,金属衣柜搬家,https://www.xiaohongshu.com/explore/6625e447000000000401a8c5?xsec_token=ABiJKXfSjp3bguk6Nsl3PQjo2AkFxFAxcaIsGgeFnH-W0=&xsec_source=,42,54,16,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,等于是花了一次的钱 买了一个可以陪伴终身的衣柜 可以拆卸多次安装使用 如果想要环保、方便、…,品牌观点：金属衣柜可多次拆装复用，但“陪伴终身”是未经验证的长期宣称。,分析：单一卖点钩子→产品/服务解释→场景或咨询引导,证据不足：存在环保、防尘、寿命或即住宣称，但正文未提供检测报告、标准或长期实测,价格与增项；环保与气味；承重与墙体；柜门与轨道,评论区用户观点：只要衣柜不要柜门可以吗？；这种是先刷乳胶漆还是先装柜子啊？；这种做起来要多少钱,未获取,未获取,是（品牌身份明确；产品/服务导向）,分析：聚焦一个真实问题，给出条件和边界；结尾用具体问题引导经验交流。,分析：不照搬绝对化或强情绪结论；环保、寿命、防尘和承重需标条件与证据。
37,为什么你觉得金属衣柜贵,费戈曼金属衣柜（南宁线下实体店）,商家,02-05,金属衣柜贵吗,https://www.xiaohongshu.com/explore/698365be000000002202cea5?xsec_token=ABxmiXlbAcYYVEQE1aBzg0UurcQxIpI8NmkmXKvOmYrl8=&xsec_source=,2,未获取,未获取,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,商家观点：以“为什么贵”发问，但正文仅标签，缺少价格构成和证据。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,价格与增项,未获取,未获取,未获取,较强（门店、安装、咨询或团购导向）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
38,金属衣柜坍塌现场~第二集,费戈曼金属衣柜（南宁线下实体店）,商家,01-29,金属衣柜承重,https://www.xiaohongshu.com/explore/697a2fc600000000220323d0?xsec_token=ABWww51lr9wprthQX8nR8y8plV-blrce4q3Rf43NRpBas=&xsec_source=,511,522,51,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,商家观点：坍塌与墙体、锚固方式相关，评论集中讨论空心墙和膨胀件。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,承重与墙体,评论区用户观点：他这个就是充气砖墙体根本不吃钉，什么膨胀钉来都没太大意义；这种涨塞不行，如果是实体墙，还是金属膨胀螺丝可靠。我原来装过…,未获取,评论区用户观点：恐怕我这个不得塌,较强（门店、安装、咨询或团购导向）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
39,金属衣柜的坑我已经踩完了😭你就别踩啦❗,美达斯衣柜,品牌官方,2025-05-26,金属衣柜避坑,https://www.xiaohongshu.com/explore/68341209000000002203594d?xsec_token=ABRIg4HYWpGCELsu_fS6sumEnJDeCcO_POU79FX3acphA=&xsec_source=,5192,6380,57,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,品牌观点：用避坑话题制造高收藏，但正文文字信息少，主要证据依赖画面。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,未获取,评论区用户观点：为什么这个架子要上墙，直接落地不行吗？那种货架衣柜就是底下有…；怎么弄，家里在装修也想看看；折叠门高度不能到房顶吧,评论区用户观点：这种的应该结实吧,评论区用户观点：为什么这个架子要上墙，直接落地不行吗？那种货架衣柜就是底下有…；折叠门高度不能到房顶吧,是（品牌身份明确；产品/服务导向）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
40,3块板➕金属架做衣柜，木工说要失业了😭,美达斯金属衣柜,品牌官方,06-28 江苏,金属衣柜安装,https://www.xiaohongshu.com/explore/6a3f87100000000021018441?xsec_token=ABLchSUN908vU_01LgwVEeisrCdm3RusW0K0zxFWPYLJY=&xsec_source=,582,572,72,图文轮播（未获取）；首图为实拍/信息卡，未逐字OCR,未获取（封面图片文字未结构化）,未获取（正文仅标签）,品牌观点：三块板加金属架可形成完整衣柜，评论关心侧板、门材质、地暖和是否更便宜。,分析：画面/标题承担信息，正文以标签为主,证据不足：正文主要是标签或画面，未提供可核对数据,容量与可调整性,评论区用户观点：请问北京有实体店吗？；侧板跟推拉门是什么材质？；精装修房有地暖可以跟视频一样装侧板吗？牢吗,评论区用户观点：比正常大衣柜便宜吗,评论区用户观点：安装起来会麻烦吗,是（品牌身份明确；产品/服务导向）,分析：聚焦一个真实问题，给出条件和边界；需补足正文事实。,分析：不建议只靠情绪标题、标签或引流而缺少正文证据。
